"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"20","27","7.15139305052073"
"20","28","7.15139305052073"
"20","29","7.15139305052073"
"20","30","7.15139305052073"
"21","25","7.64730513149957"
"21","26","7.64730513149957"
"21","27","7.64730513149957"
"21","28","7.64730513149957"
"21","29","7.64730513149957"
"21","30","7.64730513149957"
"22","25","7.53260767078702"
"22","26","7.53260767078702"
"22","27","7.53260767078702"
"22","28","7.53260767078702"
"22","29","7.53260767078702"
"22","30","7.53260767078702"
"23","25","7.71307327575914"
"23","26","7.71307327575914"
"23","27","7.71307327575914"
"23","28","7.71307327575914"
"23","29","7.71307327575914"
"23","30","7.71307327575914"
"24","25","6.73293891858872"
"24","26","6.73293891858872"
"24","27","6.73293891858872"
"24","28","6.73293891858872"
"24","29","6.73293891858872"
"24","30","6.73293891858872"
"25","25","7.9523481797404"
"25","26","7.9523481797404"
"25","27","7.9523481797404"
"25","28","7.9523481797404"
"25","29","7.9523481797404"
"25","30","7.9523481797404"
"26","25","7.61147606398115"
"26","26","7.61147606398115"
"26","27","7.61147606398115"
"26","28","7.61147606398115"
"26","29","7.61147606398115"
"26","30","7.61147606398115"
"27","25","7.69177765898404"
"27","26","7.69177765898404"
"27","27","7.69177765898404"
"27","28","7.69177765898404"
"27","29","7.69177765898404"
"27","30","7.69177765898404"
"28","25","7.42611479085519"
"28","26","7.42611479085519"
"28","27","7.42611479085519"
"28","28","7.42611479085519"
"28","29","7.42611479085519"
"28","30","7.42611479085519"
"29","25","7.1145853188435"
"29","26","7.1145853188435"
"29","27","7.1145853188435"
"29","28","7.1145853188435"
"29","29","7.1145853188435"
"29","30","7.1145853188435"
"30","25","7.09787800510266"
"30","26","7.09787800510266"
"30","27","7.09787800510266"
"30","28","7.09787800510266"
"30","29","7.09787800510266"
"30","30","7.09787800510266"
"31","25","7.55448366073156"
"31","26","7.55448366073156"
"31","27","7.55448366073156"
"31","28","7.55448366073156"
"31","29","7.55448366073156"
"31","30","7.55448366073156"
"32","25","8.11239368500591"
"32","26","8.11239368500591"
"32","27","8.11239368500591"
"32","28","8.11239368500591"
"32","29","8.11239368500591"
"32","30","8.11239368500591"
"33","25","7.37454481933003"
"33","26","7.37454481933003"
"33","27","7.37454481933003"
"33","28","7.37454481933003"
"33","29","7.37454481933003"
"33","30","7.37454481933003"
"34","25","8.2748535041581"
"34","26","8.2748535041581"
"34","27","8.2748535041581"
"34","28","8.2748535041581"
"34","29","8.2748535041581"
"34","30","8.2748535041581"
"35","25","6.9760603065495"
"35","26","6.9760603065495"
"35","27","6.9760603065495"
"35","28","6.9760603065495"
"35","29","6.9760603065495"
"35","30","6.9760603065495"
"36","25","7.58255240450354"
"36","26","7.58255240450354"
"36","27","7.58255240450354"
"36","28","7.58255240450354"
"36","29","7.58255240450354"
"36","30","7.58255240450354"
"37","25","7.16213700885999"
"37","26","7.16213700885999"
"37","27","7.16213700885999"
"37","28","7.16213700885999"
"37","29","7.16213700885999"
"37","30","7.16213700885999"
"38","25","8.12065269253942"
"38","26","8.12065269253942"
"38","27","8.12065269253942"
"38","28","8.12065269253942"
"38","29","8.12065269253942"
"38","30","8.12065269253942"
"39","25","6.75336880344662"
"39","26","6.75336880344662"
"39","27","6.75336880344662"
"39","28","6.75336880344662"
"39","29","6.75336880344662"
"39","30","6.75336880344662"
"40","25","6.26703259641907"
"40","26","6.26703259641907"
"40","27","6.26703259641907"
"40","28","6.26703259641907"
"40","29","6.26703259641907"
"40","30","6.26703259641907"
"41","25","6.11160085079542"
"41","26","6.11160085079542"
"41","27","6.11160085079542"
"41","28","6.11160085079542"
"41","29","6.11160085079542"
"41","30","6.11160085079542"
"42","25","7.0301261696032"
"42","26","7.0301261696032"
"42","27","7.0301261696032"
"42","28","7.0301261696032"
"42","29","7.0301261696032"
"42","30","7.0301261696032"
"43","25","7.21001298768694"
"43","26","7.21001298768694"
"43","27","7.21001298768694"
"43","28","7.21001298768694"
"43","29","7.21001298768694"
"43","30","7.21001298768694"
"44","25","6.96582653939533"
"44","26","6.96582653939533"
"44","27","6.96582653939533"
"44","28","6.96582653939533"
"44","29","6.96582653939533"
"44","30","6.96582653939533"
"45","25","6.77937534874088"
"45","26","6.77937534874088"
"45","27","6.77937534874088"
"45","28","6.77937534874088"
"45","29","6.77937534874088"
"45","30","6.77937534874088"
"46","25","6.74199866666488"
"46","26","6.74199866666488"
"46","27","6.74199866666488"
"46","28","6.74199866666488"
"46","29","6.74199866666488"
"46","30","6.74199866666488"
"47","25","6.74526684076126"
"47","26","6.74526684076126"
"47","27","6.74526684076126"
"47","28","6.74526684076126"
"47","29","6.74526684076126"
"47","30","6.74526684076126"
"48","25","6.5715730949428"
"48","26","6.5715730949428"
"48","27","6.5715730949428"
"48","28","6.5715730949428"
"48","29","6.5715730949428"
"48","30","6.5715730949428"
"49","25","6.91146678403879"
"49","26","6.91146678403879"
"49","27","6.91146678403879"
"49","28","6.91146678403879"
"49","29","6.91146678403879"
"49","30","6.91146678403879"
"50","25","6.32343085988529"
"50","26","6.32343085988529"
"50","27","6.32343085988529"
"50","28","6.32343085988529"
"50","29","6.32343085988529"
"50","30","6.32343085988529"
"51","25","7.05768454467624"
"51","26","7.05768454467624"
"51","27","7.05768454467624"
"51","28","7.05768454467624"
"51","29","7.05768454467624"
"51","30","7.05768454467624"
"52","25","7.07738651131614"
"52","26","7.07738651131614"
"52","27","7.07738651131614"
"52","28","7.07738651131614"
"52","29","7.07738651131614"
"52","30","7.07738651131614"
"53","25","6.66955587511002"
"53","26","6.66955587511002"
"53","27","6.66955587511002"
"53","28","6.66955587511002"
"53","29","6.66955587511002"
"53","30","6.66955587511002"
"54","25","6.376587287705"
"54","26","6.376587287705"
"54","27","6.376587287705"
"54","28","6.376587287705"
"54","29","6.376587287705"
"54","30","6.376587287705"
"55","25","7.04891425055156"
"55","26","7.04891425055156"
"55","27","7.04891425055156"
"55","28","7.04891425055156"
"55","29","7.04891425055156"
"55","30","7.04891425055156"
"56","25","6.68774775254202"
"56","26","6.68774775254202"
"56","27","6.68774775254202"
"56","28","6.68774775254202"
"56","29","6.68774775254202"
"56","30","6.68774775254202"
"57","25","6.82248889269644"
"57","26","6.82248889269644"
"57","27","6.82248889269644"
"57","28","6.82248889269644"
"57","29","6.82248889269644"
"57","30","6.82248889269644"
"58","25","6.60088946317009"
"58","26","6.60088946317009"
"58","27","6.60088946317009"
"58","28","6.60088946317009"
"58","29","6.60088946317009"
"58","30","6.60088946317009"
"59","25","6.61470518483577"
"59","26","6.61470518483577"
"59","27","6.61470518483577"
"59","28","6.61470518483577"
"59","29","6.61470518483577"
"59","30","6.61470518483577"
"60","25","6.37685709136119"
"60","26","6.37685709136119"
"60","27","6.37685709136119"
"60","28","6.37685709136119"
"60","29","6.37685709136119"
"60","30","6.37685709136119"
"61","25","6.50285257606101"
"61","26","6.50285257606101"
"61","27","6.50285257606101"
"61","28","6.50285257606101"
"61","29","6.50285257606101"
"61","30","6.50285257606101"
"62","25","6.25025203152502"
"62","26","6.25025203152502"
"62","27","6.25025203152502"
"62","28","6.25025203152502"
"62","29","6.25025203152502"
"62","30","6.25025203152502"
"63","25","7.07844490301111"
"63","26","7.07844490301111"
"63","27","7.07844490301111"
"63","28","7.07844490301111"
"63","29","7.07844490301111"
"63","30","7.07844490301111"
"64","25","6.59002707150319"
"64","26","6.59002707150319"
"64","27","6.59002707150319"
"64","28","6.59002707150319"
"64","29","6.59002707150319"
"64","30","6.59002707150319"
"65","25","6.4913302580099"
"65","26","6.4913302580099"
"65","27","6.4913302580099"
"65","28","6.4913302580099"
"65","29","6.4913302580099"
"65","30","6.4913302580099"
"66","25","6.33727449155613"
"66","26","6.33727449155613"
"66","27","6.33727449155613"
"66","28","6.33727449155613"
"66","29","6.33727449155613"
"66","30","6.33727449155613"
"67","25","6.75752557481519"
"67","26","6.75752557481519"
"67","27","6.75752557481519"
"67","28","6.75752557481519"
"67","29","6.75752557481519"
"67","30","6.75752557481519"
"68","25","6.57775478419521"
"68","26","6.57775478419521"
"68","27","6.57775478419521"
"68","28","6.57775478419521"
"68","29","6.57775478419521"
"68","30","6.57775478419521"
"69","25","5.99222009017316"
"69","26","5.99222009017316"
"69","27","5.99222009017316"
"69","28","5.99222009017316"
"69","29","5.99222009017316"
"69","30","5.99222009017316"
"70","25","6.05092251146315"
"70","26","6.05092251146315"
"70","27","6.05092251146315"
"70","28","6.05092251146315"
"70","29","6.05092251146315"
"70","30","6.05092251146315"
"71","25","6.75939534805742"
"71","26","6.75939534805742"
"71","27","6.75939534805742"
"71","28","6.75939534805742"
"71","29","6.75939534805742"
"71","30","6.75939534805742"
"72","25","6.68179681042554"
"72","26","6.68179681042554"
"72","27","6.68179681042554"
"72","28","6.68179681042554"
"72","29","6.68179681042554"
"72","30","6.68179681042554"
"73","25","6.46923589419549"
"73","26","6.46923589419549"
"73","27","6.46923589419549"
"73","28","6.46923589419549"
"73","29","6.46923589419549"
"73","30","6.46923589419549"
"74","25","5.92905024209065"
"74","26","5.92905024209065"
"74","27","5.92905024209065"
"74","28","5.92905024209065"
"74","29","5.92905024209065"
"74","30","5.92905024209065"
"75","25","6.38979451906409"
"75","26","6.38979451906409"
"75","27","6.38979451906409"
"75","28","6.38979451906409"
"75","29","6.38979451906409"
"75","30","6.38979451906409"
"76","25","6.722511765243"
"76","26","6.722511765243"
"76","27","6.722511765243"
"76","28","6.722511765243"
"76","29","6.722511765243"
"76","30","6.722511765243"
"77","25","6.69285554858066"
"77","26","6.69285554858066"
"77","27","6.69285554858066"
"77","28","6.69285554858066"
"77","29","6.69285554858066"
"77","30","6.69285554858066"
"78","25","6.29390757639877"
"78","26","6.29390757639877"
"78","27","6.29390757639877"
"78","28","6.29390757639877"
"78","29","6.29390757639877"
"78","30","6.29390757639877"
"79","25","6.49458198242107"
"79","26","6.49458198242107"
"79","27","6.49458198242107"
"79","28","6.49458198242107"
"79","29","6.49458198242107"
"79","30","6.49458198242107"
"80","25","6.16588974778431"
"80","26","6.16588974778431"
"80","27","6.16588974778431"
"80","28","6.16588974778431"
"80","29","6.16588974778431"
"80","30","6.16588974778431"
"81","25","6.20375887800753"
"81","26","6.20375887800753"
"81","27","6.20375887800753"
"81","28","6.20375887800753"
"81","29","6.20375887800753"
"81","30","6.20375887800753"
"82","25","6.29859487020254"
"82","26","6.29859487020254"
"82","27","6.29859487020254"
"82","28","6.29859487020254"
"82","29","6.29859487020254"
"82","30","6.29859487020254"
"83","25","5.96841248818104"
"83","26","5.96841248818104"
"83","27","5.96841248818104"
"83","28","5.96841248818104"
"83","29","5.96841248818104"
"83","30","5.96841248818104"
"84","25","6.22643845471025"
"84","26","6.22643845471025"
"84","27","6.22643845471025"
"84","28","6.22643845471025"
"84","29","6.22643845471025"
"84","30","6.22643845471025"
"85","25","6.56002542160121"
"85","26","6.56002542160121"
"85","27","6.56002542160121"
"85","28","6.56002542160121"
"85","29","6.56002542160121"
"85","30","6.56002542160121"
"86","25","6.44824276080202"
"86","26","6.44824276080202"
"86","27","6.44824276080202"
"86","28","6.44824276080202"
"86","29","6.44824276080202"
"86","30","6.44824276080202"
"87","25","6.49794664113573"
"87","26","6.49794664113573"
"87","27","6.49794664113573"
"87","28","6.49794664113573"
"87","29","6.49794664113573"
"87","30","6.49794664113573"
"88","25","6.40891872932027"
"88","26","6.40891872932027"
"88","27","6.40891872932027"
"88","28","6.40891872932027"
"88","29","6.40891872932027"
"88","30","6.40891872932027"
"89","25","6.5198732818867"
"89","26","6.5198732818867"
"89","27","6.5198732818867"
"89","28","6.5198732818867"
"89","29","6.5198732818867"
"89","30","6.5198732818867"
"90","25","6.65597484608458"
"90","26","6.65597484608458"
"90","27","6.65597484608458"
"90","28","6.65597484608458"
"90","29","6.65597484608458"
"90","30","6.65597484608458"
"91","25","6.29254462716749"
"91","26","6.29254462716749"
"91","27","6.29254462716749"
"91","28","6.29254462716749"
"91","29","6.29254462716749"
"91","30","6.29254462716749"
"92","25","6.27109902680039"
"92","26","6.27109902680039"
"92","27","6.27109902680039"
"92","28","6.27109902680039"
"92","29","6.27109902680039"
"92","30","6.27109902680039"
"93","25","5.99325219489381"
"93","26","5.99325219489381"
"93","27","5.99325219489381"
"93","28","5.99325219489381"
"93","29","5.99325219489381"
"93","30","5.99325219489381"
"94","25","6.2034468246989"
"94","26","6.2034468246989"
"94","27","6.2034468246989"
"94","28","6.2034468246989"
"94","29","6.2034468246989"
"94","30","6.2034468246989"
"95","25","6.59706978587335"
"95","26","6.59706978587335"
"95","27","6.59706978587335"
"95","28","6.59706978587335"
"95","29","6.59706978587335"
"95","30","6.59706978587335"
"96","25","6.5217826010229"
"96","26","6.5217826010229"
"96","27","6.5217826010229"
"96","28","6.5217826010229"
"96","29","6.5217826010229"
"96","30","6.5217826010229"
"97","25","6.69121609177362"
"97","26","6.69121609177362"
"97","27","6.69121609177362"
"97","28","6.69121609177362"
"97","29","6.69121609177362"
"97","30","6.69121609177362"
"98","25","6.94278270454251"
"98","26","6.94278270454251"
"98","27","6.94278270454251"
"98","28","6.94278270454251"
"98","29","6.94278270454251"
"98","30","6.94278270454251"
"99","25","6.47047777868006"
"99","26","6.47047777868006"
"99","27","6.47047777868006"
"99","28","6.47047777868006"
"99","29","6.47047777868006"
"99","30","6.47047777868006"
"100","25","6.462776421321"
"100","26","6.462776421321"
"100","27","6.462776421321"
"100","28","6.462776421321"
"100","29","6.462776421321"
"100","30","6.462776421321"
"101","25","4.37447781851125"
"101","26","4.37447781851125"
"101","27","4.37447781851125"
"101","28","4.37447781851125"
"101","29","4.37447781851125"
"101","30","4.37447781851125"
"102","25","4.36705637294993"
"102","26","4.36705637294993"
"102","27","4.36705637294993"
"102","28","4.36705637294993"
"102","29","4.36705637294993"
"102","30","4.36705637294993"
"103","25","4.52261787100834"
"103","26","4.52261787100834"
"103","27","4.52261787100834"
"103","28","4.52261787100834"
"103","29","4.52261787100834"
"103","30","4.52261787100834"
"104","25","4.6630893406151"
"104","26","4.6630893406151"
"104","27","4.6630893406151"
"104","28","4.6630893406151"
"104","29","4.6630893406151"
"104","30","4.6630893406151"
"105","25","4.43922617561289"
"105","26","4.43922617561289"
"105","27","4.43922617561289"
"105","28","4.43922617561289"
"105","29","4.43922617561289"
"105","30","4.43922617561289"
"106","25","4.46935881038966"
"106","26","4.46935881038966"
"106","27","4.46935881038966"
"106","28","4.46935881038966"
"106","29","4.46935881038966"
"106","30","4.46935881038966"
"107","25","4.25646958584743"
"107","26","4.25646958584743"
"107","27","4.25646958584743"
"107","28","4.25646958584743"
"107","29","4.25646958584743"
"107","30","4.25646958584743"
"108","25","4.4259175006387"
"108","26","4.4259175006387"
"108","27","4.4259175006387"
"108","28","4.4259175006387"
"108","29","4.4259175006387"
"108","30","4.4259175006387"
"109","25","4.36487828854031"
"109","26","4.36487828854031"
"109","27","4.36487828854031"
"109","28","4.36487828854031"
