"V1","V2"
"Termination reason","numberOfRounds"
"Sampling Amount","Fault Rate"
"1","43.75"
"1","35.5555555555556"
"2","6.94444444444444"
"2","38.7254901960784"
"3","13.6425902864259"
"3","22.6070226070226"
"4","33.8960851913061"
"4","24.5367914925533"
"5","23.8808815619298"
"5","14.0824059353471"
"6","11.7671882084884"
"6","28.9007052164947"
"7","13.9055764876604"
"7","17.0629551691099"
"8","11.9587889497164"
"8","11.0731122364954"
"9","22.8410597267061"
"9","25.4687624095831"
"10","19.666501524795"
"10","12.9043169940983"
"11","18.9896537354342"
"11","10.9322443141032"
