"V1","V2"
"Termination reason","minImprovementPerRound"
"Sampling Amount","Fault Rate"
"1","5.26315789473684"
"1","48.4848484848485"
"1","78.7878787878788"
"2","8.40689365279529"
"2","29.4117647058824"
"2","70.4887218045113"
"3","50.075493612079"
"3","37.9022560696289"
"3","14.8666450447853"
"4","17.3940932648363"
"4","7.54308023546169"
"4","22.4394041218638"
"5","25.0326940140605"
"5","17.1199494949495"
"5","34.9018759018759"
"6","4.85728079945232"
"6","17.1480831634972"
"6","20.8786188226978"
"7","49.839771729952"
"7","37.3899860884435"
"7","54.3941061272994"
"8","34.6713297084776"
"8","17.3813510760919"
"8","23.9830049235674"
"9","17.2512401208638"
"9","32.0773440677625"
"9","10.2994970267172"
"10","17.363085858768"
"10","13.8180465077017"
"10","13.2358067655986"
"11","16.2137764633016"
"11","13.7806444616592"
"11","20.5316516704941"
"12","13.0003338097071"
"12","9.26241393327178"
"12","9.58223242148056"
"13","10.2789387076598"
"13","23.3491653139113"
"13","9.85005838160935"
"14","15.4396495931203"
"14","15.6286697970137"
"14","20.5158100820433"
"15","15.3508074168782"
"15","7.02783729035177"
"15","16.3937975221997"
"16","7.89638550830211"
"16","13.9829061809769"
"16","12.754776398385"
"17","10.7124776750875"
"17","10.0568412302288"
"17","19.3592377650023"
"18","9.91455726661962"
"18","8.51150372712762"
"18","12.3603873993469"
"19","7.94525002510573"
"19","13.863348313912"
"19","6.6420995556118"
"20","9.35117251172043"
"20","12.6457779219882"
"20","5.58664176621043"
"21","6.42449426512518"
"21","8.81718384453048"
"21","6.86155039842063"
"22","8.04892208051118"
"22","9.29896838044728"
"22","10.6452389983958"
"23","8.95128907114353"
"23","8.46044600404904"
"23","12.4990711625206"
"24","7.91445938373525"
"24","6.60648953937767"
"24","8.00918683491592"
"25","17.9896821735314"
"25","8.43473806552086"
"25","11.2849234146001"
"26","8.63206972511305"
"26","8.50553775079065"
"26","6.9964825782854"
"27","10.5678638370054"
"27","16.6876980822361"
"27","13.1127753108884"
"28","6.40992433648028"
"28","8.84948504735893"
"28","22.944563549591"
"29","8.52491207467147"
"29","28.354317722604"
"29","10.9259015874861"
"30","7.4670499534204"
"30","7.08842434607948"
"30","8.87496105876879"
"31","9.20817238242528"
"31","18.8412557518375"
"31","8.08391306339185"
"32","7.20732854491604"
"32","8.27505674237557"
"32","6.31279091069447"
"33","8.23305331706831"
"33","8.19549268614519"
"33","10.0356866276018"
"34","6.9970219186237"
"34","11.8911154325615"
"34","8.71934400491685"
"35","8.59505396375806"
"35","10.1547165823017"
"35","14.7159859767391"
"36","8.29299780909237"
"36","13.409874029862"
"36","7.33138087212899"
"37","6.37604514037502"
"37","7.67996686231"
"37","9.82100599558032"
"38","7.26909133539506"
"38","9.11034209676735"
"38","6.93363507152348"
"39","7.85605149428242"
"39","9.37541442972778"
"39","8.05330567138772"
"40","8.43310602900053"
"40","8.34321870358684"
"40","8.40980367124041"
"41","5.51816315998344"
"41","6.89711713032493"
"41","9.33094197310468"
"42","8.78461553113042"
"42","7.77375509769363"
"42","8.65365880655575"
"43","6.67806045352952"
"43","8.06822006226537"
"43","8.16635729632587"
"44","6.98029325845177"
"44","6.87818589487871"
"44","9.03750857137029"
"45","7.44204560047505"
"45","7.32956178350088"
"45","7.50374796332784"
"46","12.6573258691394"
"46","8.1629328099876"
"46","8.81885478521491"
"47","7.94470741453485"
"47","7.20940551919951"
"47","7.27746685529309"
"48","8.09058179060747"
"48","8.93530484879473"
"48","6.19110486211985"
"49","8.54533882785477"
"49","7.4617386526501"
"49","8.3742003700084"
"50","7.17166193905094"
"50","6.423280018882"
"50","16.5164205832126"
"51","8.25814275417142"
"51","8.51440885161141"
"51","7.4081866612944"
"52","6.94837276634924"
"52","6.83332612436247"
"52","6.72156458110052"
"53","8.63210589781632"
"53","8.3806391858653"
"53","7.8943302840397"
"54","6.91090706475679"
"54","8.0545008109613"
"54","9.89323879156786"
"55","9.61214986072329"
"55","9.21171199520488"
"55","8.29213633641559"
"56","6.8308279724004"
"56","8.19896531210539"
"56","7.36627741035941"
"57","8.70503351314283"
"57","7.42070014651025"
"57","8.25127834437794"
"58","15.4504752318822"
"58","7.18097840210419"
"58","7.34432909824471"
"59","7.30388782988617"
"59","7.10484294146153"
"59","6.47853630341172"
"60","8.4508752261519"
"60","8.03225093201382"
"60","6.86069421879485"
"61","7.5287592264466"
"61","8.56127696313292"
"61","6.9452613714138"
