"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"77","26","7.13186113184837"
"77","27","7.13186113184837"
"77","28","7.13186113184837"
"77","29","7.13186113184837"
"77","30","7.13186113184837"
"78","25","7.24712308912511"
"78","26","7.24712308912511"
"78","27","7.24712308912511"
"78","28","7.24712308912511"
"78","29","7.24712308912511"
"78","30","7.24712308912511"
"79","25","7.30700027620782"
"79","26","7.30700027620782"
"79","27","7.30700027620782"
"79","28","7.30700027620782"
"79","29","7.30700027620782"
"79","30","7.30700027620782"
"80","25","7.11112762822532"
"80","26","7.11112762822532"
"80","27","7.11112762822532"
"80","28","7.11112762822532"
"80","29","7.11112762822532"
"80","30","7.11112762822532"
"81","25","7.35655317859348"
"81","26","7.35655317859348"
"81","27","7.35655317859348"
"81","28","7.35655317859348"
"81","29","7.35655317859348"
"81","30","7.35655317859348"
"82","25","7.38133039271231"
"82","26","7.38133039271231"
"82","27","7.38133039271231"
"82","28","7.38133039271231"
"82","29","7.38133039271231"
"82","30","7.38133039271231"
"83","25","7.23693066994625"
"83","26","7.23693066994625"
"83","27","7.23693066994625"
"83","28","7.23693066994625"
"83","29","7.23693066994625"
"83","30","7.23693066994625"
"84","25","7.37335071078506"
"84","26","7.37335071078506"
"84","27","7.37335071078506"
"84","28","7.37335071078506"
"84","29","7.37335071078506"
"84","30","7.37335071078506"
"85","25","7.12748276125168"
"85","26","7.12748276125168"
"85","27","7.12748276125168"
"85","28","7.12748276125168"
"85","29","7.12748276125168"
"85","30","7.12748276125168"
"86","25","6.99457910315322"
"86","26","6.99457910315322"
"86","27","6.99457910315322"
"86","28","6.99457910315322"
"86","29","6.99457910315322"
"86","30","6.99457910315322"
"87","25","6.97726430617659"
"87","26","6.97726430617659"
"87","27","6.97726430617659"
"87","28","6.97726430617659"
"87","29","6.97726430617659"
"87","30","6.97726430617659"
"88","25","6.9298662902608"
"88","26","6.9298662902608"
"88","27","6.9298662902608"
"88","28","6.9298662902608"
"88","29","6.9298662902608"
"88","30","6.9298662902608"
"89","25","6.96440312351179"
"89","26","6.96440312351179"
"89","27","6.96440312351179"
"89","28","6.96440312351179"
"89","29","6.96440312351179"
"89","30","6.96440312351179"
"90","25","7.04986993109313"
"90","26","7.04986993109313"
"90","27","7.04986993109313"
"90","28","7.04986993109313"
"90","29","7.04986993109313"
"90","30","7.04986993109313"
"91","25","7.13051281669779"
"91","26","7.13051281669779"
"91","27","7.13051281669779"
"91","28","7.13051281669779"
"91","29","7.13051281669779"
"91","30","7.13051281669779"
"92","25","7.01322778906924"
"92","26","7.01322778906924"
"92","27","7.01322778906924"
"92","28","7.01322778906924"
"92","29","7.01322778906924"
"92","30","7.01322778906924"
"93","25","7.05428481019546"
"93","26","7.05428481019546"
"93","27","7.05428481019546"
"93","28","7.05428481019546"
"93","29","7.05428481019546"
"93","30","7.05428481019546"
"94","25","7.10082149537892"
"94","26","7.10082149537892"
"94","27","7.10082149537892"
"94","28","7.10082149537892"
"94","29","7.10082149537892"
"94","30","7.10082149537892"
"95","25","7.24018249290635"
"95","26","7.24018249290635"
"95","27","7.24018249290635"
"95","28","7.24018249290635"
"95","29","7.24018249290635"
"95","30","7.24018249290635"
