"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"50","29","7.60769031486492"
"50","30","7.60769031486492"
"51","25","7.71103427869043"
"51","26","7.71103427869043"
"51","27","7.71103427869043"
"51","28","7.71103427869043"
"51","29","7.71103427869043"
"51","30","7.71103427869043"
"52","25","7.71110978898151"
"52","26","7.71110978898151"
"52","27","7.71110978898151"
"52","28","7.71110978898151"
"52","29","7.71110978898151"
"52","30","7.71110978898151"
"53","25","7.82983852736733"
"53","26","7.82983852736733"
"53","27","7.82983852736733"
"53","28","7.82983852736733"
"53","29","7.82983852736733"
"53","30","7.82983852736733"
"54","25","7.61038877816498"
"54","26","7.61038877816498"
"54","27","7.61038877816498"
"54","28","7.61038877816498"
"54","29","7.61038877816498"
"54","30","7.61038877816498"
"55","25","7.60475267328364"
"55","26","7.60475267328364"
"55","27","7.60475267328364"
"55","28","7.60475267328364"
"55","29","7.60475267328364"
"55","30","7.60475267328364"
"56","25","7.1655152002352"
"56","26","7.1655152002352"
"56","27","7.1655152002352"
"56","28","7.1655152002352"
"56","29","7.1655152002352"
"56","30","7.1655152002352"
"57","25","6.70918680727892"
"57","26","6.70918680727892"
"57","27","6.70918680727892"
"57","28","6.70918680727892"
"57","29","6.70918680727892"
"57","30","6.70918680727892"
"58","25","6.6945818777141"
"58","26","6.6945818777141"
"58","27","6.6945818777141"
"58","28","6.6945818777141"
"58","29","6.6945818777141"
"58","30","6.6945818777141"
"59","25","6.77272533981315"
"59","26","6.77272533981315"
"59","27","6.77272533981315"
"59","28","6.77272533981315"
"59","29","6.77272533981315"
"59","30","6.77272533981315"
"60","25","7.29296640012215"
"60","26","7.29296640012215"
"60","27","7.29296640012215"
"60","28","7.29296640012215"
"60","29","7.29296640012215"
"60","30","7.29296640012215"
"61","25","7.7193953117309"
"61","26","7.7193953117309"
"61","27","7.7193953117309"
"61","28","7.7193953117309"
"61","29","7.7193953117309"
"61","30","7.7193953117309"
"62","25","7.39752628425103"
"62","26","7.39752628425103"
"62","27","7.39752628425103"
"62","28","7.39752628425103"
"62","29","7.39752628425103"
"62","30","7.39752628425103"
"63","25","7.95768190638407"
"63","26","7.95768190638407"
"63","27","7.95768190638407"
"63","28","7.95768190638407"
"63","29","7.95768190638407"
"63","30","7.95768190638407"
"64","25","8.17233199473137"
"64","26","8.17233199473137"
"64","27","8.17233199473137"
"64","28","8.17233199473137"
"64","29","8.17233199473137"
"64","30","8.17233199473137"
"65","25","7.64663045300915"
"65","26","7.64663045300915"
"65","27","7.64663045300915"
"65","28","7.64663045300915"
"65","29","7.64663045300915"
"65","30","7.64663045300915"
"66","25","7.23192983222061"
"66","26","7.23192983222061"
"66","27","7.23192983222061"
"66","28","7.23192983222061"
"66","29","7.23192983222061"
"66","30","7.23192983222061"
"67","25","7.23255288020023"
"67","26","7.23255288020023"
"67","27","7.23255288020023"
"67","28","7.23255288020023"
"67","29","7.23255288020023"
"67","30","7.23255288020023"
"68","25","7.20243037040982"
"68","26","7.20243037040982"
"68","27","7.20243037040982"
"68","28","7.20243037040982"
"68","29","7.20243037040982"
"68","30","7.20243037040982"
"69","25","6.7388956914899"
"69","26","6.7388956914899"
"69","27","6.7388956914899"
"69","28","6.7388956914899"
"69","29","6.7388956914899"
"69","30","6.7388956914899"
"70","25","7.12297285000573"
"70","26","7.12297285000573"
"70","27","7.12297285000573"
"70","28","7.12297285000573"
"70","29","7.12297285000573"
"70","30","7.12297285000573"
"71","25","7.57862058432374"
"71","26","7.57862058432374"
"71","27","7.57862058432374"
"71","28","7.57862058432374"
"71","29","7.57862058432374"
"71","30","7.57862058432374"
"72","25","7.69960363807552"
"72","26","7.69960363807552"
"72","27","7.69960363807552"
"72","28","7.69960363807552"
"72","29","7.69960363807552"
"72","30","7.69960363807552"
"73","25","7.38293519959819"
"73","26","7.38293519959819"
"73","27","7.38293519959819"
"73","28","7.38293519959819"
"73","29","7.38293519959819"
"73","30","7.38293519959819"
"74","25","7.16382136280625"
"74","26","7.16382136280625"
"74","27","7.16382136280625"
"74","28","7.16382136280625"
"74","29","7.16382136280625"
"74","30","7.16382136280625"
"75","25","7.10940268852965"
"75","26","7.10940268852965"
"75","27","7.10940268852965"
"75","28","7.10940268852965"
"75","29","7.10940268852965"
"75","30","7.10940268852965"
"76","25","6.92602806089764"
"76","26","6.92602806089764"
"76","27","6.92602806089764"
"76","28","6.92602806089764"
"76","29","6.92602806089764"
"76","30","6.92602806089764"
"77","25","6.99783283706424"
