"V1","V2"
"Sampling Amount","Fault Rate"
"124","4.70954919902662"
"125","3.87867508695603"
"126","4.95546064908622"
"127","4.56901300977299"
"128","4.5792391901741"
"129","4.21485032677456"
"130","4.7515896728622"
"131","4.47543388869403"
"132","4.61335158655055"
"133","4.4531682836359"
"134","4.34122909279306"
"135","4.22984736020384"
"136","4.61498042671568"
"137","4.42078080736839"
"138","4.34469780207492"
"139","4.20782052666103"
"140","4.48792773343876"
"141","4.38949760731052"
"142","4.20659965851526"
"143","4.20728726813425"
"144","4.35591528604738"
"145","4.33337819048742"
"146","4.24922845323068"
"147","3.88130251810065"
"148","4.29664045556705"
"149","4.02665857540175"
"150","3.90493454154526"
"151","4.79266486095126"
"152","3.92286269066972"
"153","4.07315426738918"
"154","4.60394570083492"
"155","4.37233667523206"
"156","4.62660179132186"
"157","4.46529367567682"
"158","4.82199308567105"
"159","4.64492881172874"
"160","4.11852203191005"
"161","4.67353490948161"
"162","4.5905548493408"
"163","4.6032230759884"
"164","4.39785016950565"
"165","4.78888143112497"
"166","4.3782262415967"
"167","4.52551839518379"
"168","4.62882271317327"
"169","4.32729625423146"
"170","4.45965241131932"
"171","4.78621480429525"
"172","4.79208384279599"
"173","4.35294381969278"
"174","4.44937653384315"
"175","4.6123232224218"
"176","4.43637229044209"
"177","4.73276373063902"
"178","4.92365155763442"
"179","4.96738703375456"
"180","4.67454065371605"
"181","4.82522400250249"
"182","4.51308573702459"
"183","4.2425921700956"
"184","4.3007493121676"
"185","3.88862568797909"
"186","3.94779327152082"
"187","4.59245361217043"
"188","3.98025531298559"
"189","4.22167704790741"
"190","4.05696815547845"
"191","4.36785673034409"
"192","4.3225487056602"
"193","4.4335171133043"
"194","3.87906895777288"
"195","4.75014066069153"
"196","4.73776012613429"
"197","4.44786747090372"
"198","4.1271474971024"
"199","4.49172997854029"
"200","4.15680326673341"
"201","4.08464142341579"
"202","4.23531154138577"
"203","4.079923733033"
"204","4.39271024710699"
"205","4.38742546608452"
"206","4.4794244699245"
"207","4.3767309081517"
"208","4.13136284225086"
"209","4.43829406122951"
"210","4.59812174316469"
"211","4.35583601974907"
"212","4.35904635914561"
"213","4.75496221845694"
"214","4.40480923564206"
"215","4.83204685616581"
"216","4.87178651158663"
"217","4.63130242507571"
"218","4.90742798233877"
"219","4.95885891671421"
"220","4.36170585626783"
"221","4.88488664809152"
"222","4.26942887179333"
"223","4.50808760080228"
"224","4.28217216645992"
"225","4.28655705872258"
"226","4.22275555796435"
"227","4.4777623189432"
"228","4.35842204069925"
"229","4.36122637741636"
"230","4.80016452049166"
"231","4.77026868167764"
"232","4.3939410993214"
"233","4.40103719628038"
"234","4.32274293018952"
"235","4.9815461274381"
"236","4.77629233924559"
"237","4.8141049688374"
"238","4.87347757285865"
"239","4.81061745688482"
"240","4.64748716278868"
"241","4.79622513461982"
"242","4.79224444425051"
"243","4.68873553502116"
"244","4.50423836588088"
"245","4.90761015738147"
